rater,model,model_id,outcome,low_population,low_sample,low_positive,low_source,codex_flagged_high_census,high_positive,high_source,stratified_estimated_tasks,stratified_estimated_rate,stratified_ci_low,stratified_ci_high,ci_method
A,GLM-5.2,aliyun/glm-5.2,strict,1993,200,51,reviewer_A_independent,7,4,post_review_consensus,512.2149999999999,0.25610749999999993,0.2005,0.3185,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,Qwen 3.7 Max,aliyun/qwen3.7-max,severity_ge3,1990,200,0,reviewer_A_independent,10,2,post_review_consensus,2.0,0.001,0.001,0.018,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,Kimi K2.6,aliyun/kimi-k2.6,strict,1972,200,64,reviewer_A_independent,28,19,post_review_consensus,650.04,0.32502,0.265,0.39,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,Kimi K2.6,aliyun/kimi-k2.6,substantive,1972,200,29,reviewer_A_independent,28,12,post_review_consensus,297.94,0.14897,0.1065,0.2015,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,Kimi K2.6,aliyun/kimi-k2.6,severity_ge3,1972,200,1,reviewer_A_independent,28,2,post_review_consensus,11.86,0.0059299999999999995,0.0015,0.027,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,Qwen 3.8 Max,aliyun/qwen3.8-max,strict,1993,200,41,reviewer_A_independent,7,4,post_review_consensus,412.565,0.2062825,0.1555,0.2655,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,Qwen 3.8 Max,aliyun/qwen3.8-max,substantive,1993,200,2,reviewer_A_independent,7,2,post_review_consensus,21.93,0.010964999999999999,0.0025,0.035,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,Qwen 3.8 Max,aliyun/qwen3.8-max,severity_ge3,1993,200,0,reviewer_A_independent,7,0,post_review_consensus,0.0,0.0,0.0,0.017,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,GLM-5.2,aliyun/glm-5.2,strict,1993,200,57,reviewer_B_independent,7,4,post_review_consensus,572.005,0.2860025,0.228,0.35,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,GLM-5.2,aliyun/glm-5.2,substantive,1993,200,16,reviewer_B_independent,7,3,post_review_consensus,162.44,0.08122,0.0495,0.125,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,GLM-5.2,aliyun/glm-5.2,severity_ge3,1993,200,0,reviewer_B_independent,7,1,post_review_consensus,1.0,0.0005,0.0005,0.0175,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,DeepSeek V4 Pro,aliyun/deepseek-v4-pro,strict,1964,200,95,reviewer_B_independent,36,26,post_review_consensus,958.9,0.47945,0.4135,0.546,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,DeepSeek V4 Pro,aliyun/deepseek-v4-pro,substantive,1964,200,44,reviewer_B_independent,36,12,post_review_consensus,444.08,0.22204,0.1705,0.2815,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,DeepSeek V4 Pro,aliyun/deepseek-v4-pro,severity_ge3,1964,200,1,reviewer_B_independent,36,1,post_review_consensus,10.82,0.00541,0.001,0.026,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,DeepSeek V4 Flash,aliyun/deepseek-v4-flash,strict,1941,200,101,reviewer_B_independent,59,45,post_review_consensus,1025.205,0.5126025,0.447,0.578,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,DeepSeek V4 Flash,aliyun/deepseek-v4-flash,substantive,1941,200,58,reviewer_B_independent,59,37,post_review_consensus,599.89,0.299945,0.243,0.3625,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,DeepSeek V4 Flash,aliyun/deepseek-v4-flash,severity_ge3,1941,200,3,reviewer_B_independent,59,8,post_review_consensus,37.114999999999995,0.018557499999999998,0.0075,0.0445,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,Qwen 3.7 Max,aliyun/qwen3.7-max,strict,1990,200,69,reviewer_B_independent,10,5,post_review_consensus,691.55,0.345775,0.284,0.412,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,Qwen 3.7 Max,aliyun/qwen3.7-max,substantive,1990,200,14,reviewer_B_independent,10,4,post_review_consensus,143.3,0.07165,0.042,0.1135,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,Qwen 3.7 Max,aliyun/qwen3.7-max,severity_ge3,1990,200,0,reviewer_B_independent,10,2,post_review_consensus,2.0,0.001,0.001,0.018,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,Kimi K2.6,aliyun/kimi-k2.6,strict,1972,200,62,reviewer_B_independent,28,19,post_review_consensus,630.32,0.31516000000000005,0.256,0.3795,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,Kimi K2.6,aliyun/kimi-k2.6,substantive,1972,200,32,reviewer_B_independent,28,12,post_review_consensus,327.52,0.16376,0.119,0.218,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,Kimi K2.6,aliyun/kimi-k2.6,severity_ge3,1972,200,1,reviewer_B_independent,28,2,post_review_consensus,11.86,0.0059299999999999995,0.0015,0.027,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,Qwen 3.8 Max,aliyun/qwen3.8-max,strict,1993,200,47,reviewer_B_independent,7,4,post_review_consensus,472.355,0.2361775,0.1825,0.2975,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,Qwen 3.8 Max,aliyun/qwen3.8-max,substantive,1993,200,4,reviewer_B_independent,7,2,post_review_consensus,41.86,0.02093,0.007,0.0495,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
B,Qwen 3.8 Max,aliyun/qwen3.8-max,severity_ge3,1993,200,0,reviewer_B_independent,7,0,post_review_consensus,0.0,0.0,0.0,0.017,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
